t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,1673.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,1673.15,0.9706064,0.01043518,1.77652E-07,1.34243E-12,2.05501E-07,3.54685E-06,2.4988E-132
2.53E-08,1673.15,0.9706034,0.01043237,4.44232E-07,5.03567E-12,5.37158E-07,8.8186E-06,4.2624E-126
4.78E-08,1673.15,0.9705988,0.01042817,8.46223E-07,1.492E-11,1.0774E-06,1.67564E-05,2.3678E-122
8.15E-08,1673.15,0.9705919,0.01042189,1.45637E-06,3.99628E-11,1.94507E-06,2.85785E-05,4.978E-119
1.32E-07,1673.15,0.9705816,0.01041251,2.39004E-06,1.01003E-10,3.31056E-06,4.61393E-05,1.474E-115
2.07E-07,1673.15,0.9705661,0.01039849,3.83253E-06,2.45628E-10,5.43128E-06,7.23759E-05,2.0471E-112
3.18E-07,1673.15,0.970543,0.01037752,6.07964E-06,5.72488E-10,8.70948E-06,0.00011133,0
4.85E-07,1673.15,0.9705084,0.01034614,9.63835E-06,1.32333E-09,1.38192E-05,0.000169261,8.156E-106
7.34E-07,1673.15,0.9704566,0.01029917,1.53943E-05,3.08238E-09,2.19078E-05,0.000255105,4.5388E-103
1.10E-06,1673.15,0.9703788,0.01022886,2.49974E-05,7.37302E-09,3.50473E-05,0.000381848,4.7798E-101
1.66E-06,1673.15,0.9702622,0.01012391,4.16032E-05,1.83527E-08,5.71176E-05,0.000566781,1.352E-98
2.48E-06,1673.15,0.9700878,0.009968627,7.14142E-05,4.79556E-08,9.56917E-05,0.000831119,6.34217E-96
3.72E-06,1673.15,0.9698289,0.009743936,0.000126709,1.324E-07,0.000165951,0.001193562,6.36114E-93
5.55E-06,1673.15,0.9694517,0.009433878,0.000231047,3.85241E-07,0.000297995,0.001650505,7.7587E-91
8.29E-06,1673.15,0.9689194,0.009040483,0.00042533,1.15843E-06,0.000546786,0.002140713,2.25546E-87
1.24E-05,1673.15,0.9681937,0.008592151,0.000766873,3.4627E-06,0.000994767,0.002533217,0
1.85E-05,1673.15,0.9672144,0.008108473,0.001312276,9.81707E-06,0.001732751,0.002718843,6.13405E-80
2.76E-05,1673.15,0.9658721,0.007552929,0.002099179,2.56439E-05,0.002839937,0.002722471,0
4.12E-05,1673.15,0.9640161,0.006863786,0.003147747,6.15919E-05,0.004399396,0.002644499,3.89075E-69
6.14E-05,1673.15,0.9614786,0.006019204,0.004457611,0.000137479,0.006520119,0.002547718,1.28324E-64
9.16E-05,1673.15,0.9580699,0.005055486,0.005981315,0.000287641,0.009335491,0.002466507,4.85612E-60
0.000136721,1673.15,0.9535416,0.004065459,0.007606329,0.000566569,0.01301706,0.002444253,6.61615E-56
0.000203974,1673.15,0.9475011,0.003180009,0.009175294,0.001053707,0.01783896,0.00254874,1.57281E-51
0.000304304,1673.15,0.9392444,0.002519257,0.01055324,0.001858973,0.02431767,0.00287744,7.01169E-46
0.000453979,1673.15,0.9274645,0.002133044,0.01171251,0.003137739,0.03346096,0.003562517,1.87085E-39
0.000677267,1673.15,0.9097745,0.001972568,0.01278315,0.005133235,0.04718537,0.004770057,7.69274E-33
0.001010373,1673.15,0.882087,0.001919801,0.01400374,0.008271323,0.0688902,0.006677226,1.24488E-26
0.00150731,1673.15,0.8380527,0.001863265,0.01552049,0.01328611,0.1040466,0.009449285,5.98792E-21
0.002248653,1673.15,0.7687542,0.00174325,0.01716598,0.02122756,0.1606012,0.01331339,3.52187E-15
0.003354606,1673.15,0.6629268,0.001545636,0.01856866,0.03330545,0.2488775,0.018487964,1.56574E-07
0.005004494,1673.15,0.528425,0.000901713,0.01641032,0.0487582,0.3687044,0.021733027,0.012942288
0.007465837,1673.15,0.4067474,0.000528667,0.01168105,0.05861382,0.487535,0.020986883,0.075499992
0.011137731,1673.15,0.3009039,0.000296862,0.008265775,0.06326581,0.5976283,0.016774473,0.187408237
0.016615552,1673.15,0.2164918,0.000161788,0.00603582,0.06494539,0.6886724,0.011676252,0.318155191
0.024787501,1673.15,0.1526845,8.65923E-05,0.004738503,0.06522302,0.7583061,0.007584295,0.435365553
0.036978617,1673.15,0.1063532,4.6124E-05,0.004027446,0.06476826,0.8090228,0.00486242,0.527394807
0.055165624,1673.15,0.07429227,2.53156E-05,0.003638326,0.06361414,0.8445864,0.003233438,0.595049209
0.08229745,1673.15,0.0534619,1.51642E-05,0.003392692,0.06155402,0.86886,0.002302044,0.644195435
0.122773379,1673.15,0.04097533,1.0386E-05,0.003182355,0.05842912,0.8853436,0.001758089,0.681457057
0.183156369,1673.15,0.03420277,8.11589E-06,0.002957107,0.05430197,0.8968739,0.001412067,0.71196639
0.273237204,1673.15,0.03083442,6.9329E-06,0.002710411,0.04953279,0.9055298,0.001165616,0.73868917
0.40762202,1673.15,0.0290481,6.17335E-06,0.002459623,0.04466092,0.9126401,0.000974164,0.762757506
0.608100607,1673.15,0.02777694,5.56585E-06,0.002223521,0.04011382,0.9188536,0.000820423,0.784350901
0.907179514,1673.15,0.02664022,5.03325E-06,0.002010711,0.03606068,0.9243844,0.000697096,0.803489606
1.353352815,1673.15,0.02556569,4.56172E-06,0.00182189,0.03250189,0.9293098,0.000598718,0.820342839
2.018965163,1673.15,0.02454386,4.14545E-06,0.001654887,0.02938361,0.9337004,0.000520218,0.835186513
3.011942105,1673.15,0.02356955,3.77739E-06,0.001506809,0.02664163,0.9376328,0.000457244,0.848323834
4.49328963,1673.15,0.0226373,3.45013E-06,0.001374771,0.02421484,0.9411799,0.000406319,0.860038259
6.703200454,1673.15,0.0217422,3.15701E-06,0.001256251,0.02205116,0.9444039,0.000364732,0.870568863
10,1673.15,0.02087981,2.89245E-06,0.001149136,0.0201076,0.9473563,0.000330512,0.880111931
