t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,2673.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,2673.15,0.965567,0.007741822,0.001046971,3.77314E-06,0.0015752,0.005179794,5.9144E-107
2.53E-08,2673.15,0.9586443,0.00495069,0.002134901,2.07294E-05,0.004071222,0.011372718,5.59902E-98
4.78E-08,2673.15,0.9498675,0.002542616,0.003096846,6.3248E-05,0.007289431,0.018421689,1.38725E-90
8.15E-08,2673.15,0.938667,0.000950955,0.003811576,0.000149748,0.01142843,0.026365981,8.30408E-86
1.32E-07,2673.15,0.9234687,0.00024966,0.004413445,0.000308286,0.01723621,0.035804739,5.16622E-81
2.07E-07,2673.15,0.9012603,0.000105782,0.005511221,0.000599232,0.02636298,0.047788065,1.54434E-76
3.18E-07,2673.15,0.8670742,0.000157778,0.008423324,0.001217186,0.04212069,0.062859242,4.02621E-71
4.85E-07,2673.15,0.8127601,0.000261783,0.01545264,0.002851665,0.07111731,0.079776493,2.42663E-65
7.34E-07,2673.15,0.726109,0.000363315,0.02878306,0.007644677,0.1249124,0.095031228,2.87883E-59
1.10E-06,2673.15,0.5955769,0.000396042,0.04541802,0.02041311,0.2169554,0.105123218,9.09177E-51
1.66E-06,2673.15,0.4259363,0.000331386,0.05319466,0.04699114,0.3490246,0.109941505,2.90208E-42
2.48E-06,2673.15,0.2517907,0.000209911,0.04163876,0.08673802,0.4959315,0.11092344,1.29533E-34
3.72E-06,2673.15,0.118771,9.72373E-05,0.01920534,0.1274789,0.6151256,0.108137263,5.30436E-29
5.55E-06,2673.15,0.04746276,3.22794E-05,0.004974406,0.1563728,0.6796929,0.101250325,5.35119E-25
8.29E-06,2673.15,0.02095747,9.64362E-06,0.001207833,0.1756571,0.7019386,0.090451781,3.27995E-22
1.24E-05,2673.15,0.01162211,3.44868E-06,0.000432714,0.1895533,0.7091497,0.079654838,3.18892E-20
1.85E-05,2673.15,0.007166569,1.3903E-06,0.00020512,0.1983642,0.7126591,0.072122764,1.05889E-18
2.76E-05,2673.15,0.00456638,5.83202E-07,0.000120527,0.2037441,0.7147641,0.067384857,2.23624E-17
4.12E-05,2673.15,0.002957911,2.50214E-07,8.6742E-05,0.2071092,0.7160743,0.064390322,4.17018E-16
6.14E-05,2673.15,0.001939012,1.09549E-07,7.28296E-05,0.2092547,0.7169128,0.062463495,6.89623E-15
9.16E-05,2673.15,0.001284029,4.91121E-08,6.7002E-05,0.2106398,0.7174627,0.061204913,9.7156E-14
0.000136721,2673.15,0.000859727,2.28217E-08,6.45473E-05,0.2115398,0.7178295,0.060374925,1.18651E-12
0.000203974,2673.15,0.000585049,1.12859E-08,6.352E-05,0.2121237,0.7180754,0.059827294,1.28725E-11
0.000304304,2673.15,0.000409601,6.19689E-09,6.30984E-05,0.212497,0.7182381,0.059471263,1.24203E-10
0.000453979,2673.15,0.000301835,3.9572E-09,6.2931E-05,0.2127261,0.7183414,0.059249298,1.05728E-09
0.000677267,2673.15,0.00024127,2.99546E-09,6.28677E-05,0.212854,0.7184015,0.059123325,7.93608E-09
0.001010373,2673.15,0.000212908,2.61876E-09,6.28454E-05,0.2129124,0.7184318,0.059063657,5.29282E-08
