t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,1473.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,1473.15,0.9706083,0.01043698,7.28232E-09,2.11423E-14,8.25043E-09,1.74467E-07,1.308E-125
2.53E-08,1473.15,0.9706082,0.01043685,1.8232E-08,6.64657E-14,2.11455E-08,3.80622E-07,6.2278E-124
4.78E-08,1473.15,0.970608,0.01043666,3.47126E-08,1.56188E-13,4.10871E-08,7.342E-07,8.1104E-123
8.15E-08,1473.15,0.9706077,0.01043637,5.95771E-08,3.3054E-13,7.17704E-08,1.27865E-06,1.0876E-121
1.32E-07,1473.15,0.9706072,0.01043594,9.72493E-08,6.72737E-13,1.1892E-07,2.13383E-06,2.1874E-120
2.07E-07,1473.15,0.9706066,0.01043529,1.54717E-07,1.36131E-12,1.91488E-07,3.26379E-06,8.5788E-119
3.18E-07,1473.15,0.9706056,0.01043432,2.43281E-07,2.79024E-12,3.0367E-07,5.05305E-06,7.3194E-117
4.85E-07,1473.15,0.9706041,0.01043287,3.81591E-07,5.8262E-12,4.78289E-07,7.72011E-06,1.0599E-114
7.34E-07,1473.15,0.9706018,0.0104307,6.00138E-07,1.22314E-11,7.51895E-07,1.1738E-05,3.1069E-115
1.10E-06,1473.15,0.9705985,0.01042744,9.49085E-07,2.55282E-11,1.18368E-06,1.75772E-05,0
1.66E-06,1473.15,0.9705934,0.01042252,1.53105E-06,5.63685E-11,1.88994E-06,2.6399E-05,0
2.48E-06,1473.15,0.9705857,0.01041507,2.52688E-06,1.2892E-10,3.07223E-06,3.95108E-05,0
3.72E-06,1473.15,0.9705741,0.01040374,4.28977E-06,3.07316E-10,5.11646E-06,5.88535E-05,2.6252E-103
5.55E-06,1473.15,0.9705563,0.01038643,7.53668E-06,7.73754E-10,8.79339E-06,8.73692E-05,3.7114E-101
8.29E-06,1473.15,0.970529,0.01035989,1.37556E-05,2.07903E-09,1.56872E-05,0.000128605,4.6114E-99
