t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,1373.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,1373.15,0.9706084,0.01043706,1.01563E-09,5.53836E-17,1.03433E-09,7.95004E-09,0
2.53E-08,1373.15,0.9706084,0.01043704,2.55493E-09,1.3578E-15,2.67811E-09,2.4767E-08,2.3342E-120
4.78E-08,1373.15,0.9706083,0.01043701,4.92193E-09,6.66797E-15,5.33288E-09,1.49745E-07,6.3831E-119
8.15E-08,1373.15,0.9706083,0.01043697,8.55149E-09,1.91399E-14,9.511E-09,1.81937E-07,9.1118E-118
1.32E-07,1373.15,0.9706082,0.01043691,1.41159E-08,4.45395E-14,1.6002E-08,3.29882E-07,1.1101E-116
2.07E-07,1373.15,0.9706081,0.01043682,2.26665E-08,9.36986E-14,2.60332E-08,5.013E-07,1.3719E-115
3.18E-07,1373.15,0.970608,0.01043668,3.58696E-08,1.87523E-13,4.15348E-08,7.12595E-07,1.912E-114
4.85E-07,1373.15,0.9706078,0.01043647,5.64075E-08,3.67192E-13,6.55824E-08,1.07801E-06,3.1728E-113
7.34E-07,1373.15,0.9706075,0.01043616,8.86457E-08,7.14098E-13,1.03128E-07,1.62823E-06,5.934E-112
1.10E-06,1373.15,0.970607,0.01043569,1.39705E-07,1.38641E-12,1.62165E-07,2.49813E-06,4.1092E-112
1.66E-06,1373.15,0.9706063,0.01043499,2.2127E-07,2.68782E-12,2.55685E-07,3.73304E-06,2.2603E-112
2.48E-06,1373.15,0.9706052,0.01043393,3.53389E-07,5.24435E-12,4.05685E-07,5.63092E-06,7.1176E-113
3.72E-06,1373.15,0.9706036,0.01043232,5.74768E-07,1.06154E-11,6.53798E-07,8.40142E-06,0
5.55E-06,1373.15,0.9706012,0.01042986,9.71054E-07,2.35288E-11,1.09014E-06,1.24788E-05,0
8.29E-06,1373.15,0.9705974,0.01042607,1.70361E-06,5.59895E-11,1.88304E-06,1.86133E-05,0
1.24E-05,1373.15,0.9705915,0.01042018,3.09757E-06,1.4187E-10,3.36883E-06,2.76335E-05,1.2806E-100
1.85E-05,1373.15,0.9705822,0.0104109,5.84542E-06,3.85875E-10,6.25953E-06,4.07547E-05,1.03528E-98
2.76E-05,1373.15,0.9705675,0.01039619,1.13964E-05,1.12676E-09,1.2042E-05,5.91105E-05,7.94846E-97
4.12E-05,1373.15,0.9705442,0.01037294,2.26506E-05,3.4983E-09,2.36956E-05,8.31903E-05,2.78172E-96
