t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,2473.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,2473.15,0.9687073,0.009251137,0.000346592,4.66276E-07,0.000490366,0.002277788,2.8821E-109
2.53E-08,2473.15,0.9658985,0.007721748,0.000798294,2.77047E-06,0.001366447,0.005323411,9.2536E-103
4.78E-08,2473.15,0.9620608,0.005893776,0.001351335,9.34734E-06,0.002631356,0.009212156,1.01129E-96
8.15E-08,2473.15,0.9570374,0.003939199,0.001971676,2.49831E-05,0.004342936,0.013899386,3.00218E-91
1.32E-07,2473.15,0.9505696,0.002168867,0.002606927,5.84221E-05,0.006649693,0.019225951,6.24318E-87
2.07E-07,2473.15,0.9420719,0.000922448,0.003254701,0.000125046,0.009889331,0.025086584,3.44471E-82
3.18E-07,2473.15,0.9301773,0.000335853,0.004109722,0.000254404,0.01482665,0.031730651,1.29973E-77
4.85E-07,2473.15,0.9121605,0.000230553,0.0057702,0.000520406,0.02308869,0.039783451,2.99656E-73
7.34E-07,2473.15,0.883169,0.000332571,0.009484581,0.001153253,0.03801439,0.049591596,6.84746E-68
1.10E-06,2473.15,0.8348729,0.000497291,0.01724805,0.002891465,0.06620251,0.060363404,3.7101E-62
1.66E-06,2473.15,0.7545251,0.000643338,0.03050214,0.00781619,0.1189113,0.070263322,1.52987E-55
2.48E-06,2473.15,0.6291227,0.000681025,0.04590959,0.02031006,0.2094505,0.078192655,3.69744E-46
3.72E-06,2473.15,0.4604303,0.000572049,0.05265502,0.04585782,0.3411198,0.084550151,4.08986E-37
5.55E-06,2473.15,0.2814332,0.000365926,0.04146674,0.08536646,0.4905537,0.087825844,2.54955E-29
8.29E-06,2473.15,0.1422276,0.000169342,0.02003632,0.1290866,0.6134066,0.083694688,8.32627E-24
1.24E-05,2473.15,0.06504057,5.86413E-05,0.00604092,0.1628288,0.6832845,0.072358109,5.60508E-20
1.85E-05,2473.15,0.03167543,1.84376E-05,0.001693762,0.1844634,0.7127896,0.059437995,2.39115E-17
2.76E-05,2473.15,0.01742977,6.29013E-06,0.00061518,0.197786,0.7247667,0.04969031,1.59133E-15
4.12E-05,2473.15,0.01037415,2.35765E-06,0.000300924,0.2054773,0.7305788,0.043671867,3.46813E-14
6.14E-05,2473.15,0.006450093,9.41491E-07,0.000194092,0.2098966,0.7338523,0.040074079,6.12392E-13
9.16E-05,2473.15,0.004121165,3.93481E-07,0.000154364,0.2125382,0.7358286,0.037862778,2.04941E-11
0.000136721,2473.15,0.002685906,1.71262E-07,0.000138817,0.2141657,0.7370718,0.036466172,9.55914E-10
0.000203974,2473.15,0.00178285,7.82733E-08,0.000132577,0.2151818,0.7378787,0.035567037,3.69407E-08
0.000304304,2473.15,0.001210992,3.85305E-08,0.000130061,0.2158168,0.7384093,0.034984976,8.65831E-07
0.000453979,2473.15,0.000852827,2.13084E-08,0.000129052,0.2162084,0.7387519,0.034615662,9.99925E-06
0.000677267,2473.15,0.000637807,1.38272E-08,0.000128649,0.2164378,0.738964,0.034392997,5.69363E-05
0.001010373,2473.15,0.000521417,1.06748E-08,0.000128493,0.2165545,0.7390874,0.034271271,0.000185914
0.00150731,2473.15,0.000470623,9.49659E-09,0.000128435,0.2165947,0.7391535,0.034216594,0.000409834
0.002248653,2473.15,0.000455719,9.17352E-09,0.000128413,0.2165906,0.7391911,0.034198206,0.000693596
0.003354606,2473.15,0.000453441,9.12473E-09,0.0001284,0.2165657,0.7392244,0.034192065,0.000994099
0.005004494,2473.15,0.000453299,9.12119E-09,0.000128385,0.216527,0.739269,0.034186225,0.001302599
0.007465837,2473.15,0.000453272,9.11981E-09,0.000128362,0.2164695,0.7393345,0.03417813,0.001659644
