t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,2073.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,2073.15,0.970475,0.01033039,1.68035E-05,1.87685E-09,2.07514E-05,0.000204783,3.2618E-127
2.53E-08,2073.15,0.9702692,0.01017279,4.19204E-05,1.16167E-08,6.03074E-05,0.000506841,4.6033E-116
4.78E-08,2073.15,0.969959,0.00994169,7.95378E-05,4.26381E-08,0.000126362,0.000949347,2.4215E-111
8.15E-08,2073.15,0.9695003,0.009605385,0.000135746,1.23096E-07,0.000228415,0.001593182,1.2784E-105
1.32E-07,2073.15,0.9688315,0.009123117,0.000219406,3.24243E-07,0.00038223,0.002516923,2.346E-100
2.07E-07,2073.15,0.9678696,0.008446246,0.000343591,8.14019E-07,0.00061313,0.003814789,7.34212E-96
3.18E-07,2073.15,0.9665065,0.007528001,0.000528225,1.9962E-06,0.000962989,0.005580748,1.52237E-92
4.85E-07,2073.15,0.9646083,0.006348576,0.000804887,4.85969E-06,0.001504182,0.007864665,3.71295E-89
7.34E-07,2073.15,0.9620081,0.004962519,0.001225758,1.18558E-05,0.002368247,0.01059312,5.8111E-85
1.10E-06,2073.15,0.9584715,0.003553143,0.00187906,2.90892E-05,0.003796508,0.01348079,1.93359E-80
1.66E-06,2073.15,0.9535872,0.0024196,0.002909948,7.16467E-05,0.006207925,0.01605963,1.47425E-76
2.48E-06,2073.15,0.946546,0.001806391,0.004541307,0.000176006,0.01027263,0.017967346,5.29382E-72
3.72E-06,2073.15,0.9358261,0.001681975,0.007092913,0.000428101,0.01704302,0.019310471,3.62556E-67
5.55E-06,2073.15,0.9188288,0.001799402,0.01099277,0.001025936,0.02829572,0.020554702,7.07513E-62
8.29E-06,2073.15,0.891323,0.001962613,0.01670488,0.002412415,0.04716836,0.022119352,8.04588E-56
1.24E-05,2073.15,0.8465891,0.002085424,0.02439792,0.005526021,0.07900081,0.024423525,1.24743E-47
1.85E-05,2073.15,0.7749576,0.00210168,0.0332108,0.01220837,0.1319596,0.02815183,8.6565E-39
2.76E-05,2073.15,0.6664744,0.001924949,0.04030749,0.02569234,0.2154109,0.033702041,1.87612E-29
4.12E-05,2073.15,0.5221337,0.001482868,0.04086442,0.0499732,0.3310762,0.039310972,3.62729E-22
6.14E-05,2073.15,0.3681226,0.000890697,0.0318681,0.08457518,0.4592579,0.041674524,1.83085E-16
9.16E-05,2073.15,0.2389757,0.000433527,0.01852332,0.120435,0.5691582,0.040256703,5.56502E-12
0.000136721,2073.15,0.1465067,0.000189118,0.008751935,0.1495318,0.6476258,0.036202417,1.83725E-07
0.000203974,2073.15,0.08561587,7.46843E-05,0.003864756,0.171003,0.699125,0.02979745,0.00143413
0.000304304,2073.15,0.0499196,2.70543E-05,0.001821687,0.185194,0.7299242,0.022994379,0.022280798
0.000453979,2073.15,0.02945635,1.00887E-05,0.001102864,0.1931911,0.7475561,0.018797283,0.052885813
0.000677267,2073.15,0.01781438,3.90508E-06,0.000847601,0.1971681,0.757951,0.016459557,0.073257994
0.001010373,2073.15,0.01113465,1.6151E-06,0.000756519,0.1990489,0.7642376,0.015138085,0.08526185
0.00150731,2073.15,0.007258693,7.4379E-07,0.000723352,0.1998438,0.7681711,0.0143607,0.093162103
0.002248653,2073.15,0.00501961,4.01765E-07,0.000710569,0.1999913,0.7707757,0.013883563,0.099108403
0.003354606,2073.15,0.003785438,2.65177E-07,0.00070476,0.19965,0.772679,0.013573134,0.104458747
0.005004494,2073.15,0.003187996,2.12364E-07,0.000700923,0.1988377,0.7743237,0.013346024,0.110369934
0.007465837,2073.15,0.002967431,1.94784E-07,0.000696987,0.1974939,0.7760995,0.013137476,0.117984419
0.011137731,2073.15,0.002916311,1.90325E-07,0.000691829,0.195499,0.7783938,0.01289005,0.128503841
0.016615552,2073.15,0.002908377,1.88783E-07,0.0006846,0.1926707,0.781562,0.012558591,0.143176643
0.024787501,2073.15,0.002903835,1.87107E-07,0.000674515,0.1887748,0.7859069,0.012114937,0.16323893
0.036978617,2073.15,0.002896441,1.8474E-07,0.000660806,0.1835784,0.7916841,0.01154295,0.189768632
0.055165624,2073.15,0.002884358,1.81461E-07,0.000642793,0.1769129,0.7990652,0.010841831,0.223423966
0.08229745,2073.15,0.002865494,1.77076E-07,0.000620085,0.1687503,0.8080613,0.010031003,0.264083934
0.122773379,2073.15,0.002837723,1.71469E-07,0.000592784,0.1592574,0.8184663,0.009152297,0.310630169
0.183156369,2073.15,0.002799491,1.6465E-07,0.000561556,0.1487812,0.8298811,0.008259602,0.361112554
0.273237204,2073.15,0.002750264,1.56777E-07,0.000527502,0.1377693,0.841807,0.007404531,0.413220713
0.40762202,2073.15,0.00269069,1.48119E-07,0.000491921,0.1266715,0.8537547,0.006625656,0.464790086
0.608100607,2073.15,0.002622308,1.38991E-07,0.000456047,0.1158574,0.8653324,0.005943192,0.514171505
0.907179514,2073.15,0.002547055,1.29689E-07,0.000420855,0.1055776,0.8762825,0.005361715,0.560353356
