t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,2273.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,2273.15,0.9700303,0.01002481,8.85458E-05,3.79994E-08,0.000117576,0.000793401,1.3841E-117
2.53E-08,2273.15,0.9691442,0.009437603,0.000216262,2.33985E-07,0.000340482,0.001929079,5.6005E-109
4.78E-08,2273.15,0.9678504,0.008622543,0.000397562,8.29517E-07,0.000692549,0.003522536,2.5073E-103
8.15E-08,2273.15,0.9660257,0.007532881,0.00064806,2.37392E-06,0.001209205,0.005693591,5.84081E-98
1.32E-07,2273.15,0.9635233,0.006156154,0.000982229,6.08302E-06,0.001949427,0.008527967,2.95608E-93
2.07E-07,2273.15,0.9601782,0.004560278,0.001412504,1.45812E-05,0.003007986,0.012013141,7.20321E-89
3.18E-07,2273.15,0.9557814,0.002939882,0.001956198,3.34024E-05,0.004547176,0.015977282,4.52488E-85
4.85E-07,2273.15,0.9499521,0.001600741,0.002667211,7.41208E-05,0.006874097,0.02012153,1.07052E-80
7.34E-07,2273.15,0.9418239,0.000810651,0.003716038,0.00016213,0.01059708,0.024242711,4.28108E-76
1.10E-06,2273.15,0.9295376,0.000587557,0.005525206,0.00036,0.0169216,0.028503947,1.53835E-71
1.66E-06,2273.15,0.9095893,0.000705391,0.008925964,0.000839929,0.02821928,0.033287786,1.4846E-66
2.48E-06,2273.15,0.875875,0.000941723,0.0152002,0.00208895,0.04905446,0.038636557,6.08875E-61
3.72E-06,2273.15,0.8184988,0.001166983,0.02547284,0.005385392,0.08748168,0.044203965,3.05653E-54
5.55E-06,2273.15,0.7243393,0.001269383,0.03859365,0.01353678,0.1551088,0.050094177,2.30913E-44
8.29E-06,2273.15,0.584403,0.001165302,0.04850814,0.03118331,0.2619593,0.056919788,1.052E-34
1.24E-05,2273.15,0.4114809,0.000849308,0.04619692,0.06282834,0.4016009,0.062827892,1.36597E-26
1.85E-05,2273.15,0.2494882,0.000458106,0.0303154,0.1058737,0.5389995,0.062377885,1.75159E-20
2.76E-05,2273.15,0.1371028,0.000189646,0.01334339,0.1461761,0.6370041,0.055012974,3.15377E-16
4.12E-05,2273.15,0.07320896,6.83258E-05,0.00464257,0.1743335,0.6919037,0.045448134,5.12359E-13
