t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,1573.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,1573.15,0.9706079,0.01043661,3.98258E-08,2.24558E-13,4.72105E-08,8.82964E-07,1.7941E-129
2.53E-08,1573.15,0.9706072,0.01043593,9.95405E-08,6.8753E-13,1.20355E-07,2.1401E-06,6.3747E-127
4.78E-08,1573.15,0.9706061,0.01043491,1.89308E-07,1.65788E-12,2.34126E-07,4.07656E-06,1.9366E-124
8.15E-08,1573.15,0.9706045,0.01043339,3.24813E-07,3.73891E-12,4.11623E-07,6.91356E-06,6.9501E-122
1.32E-07,1573.15,0.9706021,0.01043112,5.30713E-07,8.32118E-12,6.88665E-07,1.11406E-05,3.4363E-119
2.07E-07,1573.15,0.9705986,0.01042773,8.46706E-07,1.86711E-11,1.12023E-06,1.7343E-05,2.9424E-116
3.18E-07,1573.15,0.9705932,0.01042266,1.33717E-06,4.19786E-11,1.79078E-06,2.6752E-05,1.9602E-113
4.85E-07,1573.15,0.9705851,0.01041506,2.11092E-06,9.52169E-11,2.83834E-06,4.07806E-05,0
7.34E-07,1573.15,0.970573,0.01040366,3.34748E-06,2.13662E-10,4.48623E-06,6.16161E-05,0
1.10E-06,1573.15,0.9705548,0.01038652,5.38145E-06,4.90396E-10,7.13732E-06,9.26007E-05,0
1.66E-06,1573.15,0.9705273,0.0103607,8.81686E-06,1.15171E-09,1.15029E-05,0.000138619,3.3866E-103
2.48E-06,1573.15,0.9704859,0.01032174,1.4856E-05,2.82345E-09,1.89609E-05,0.00020624,3.3384E-101
3.72E-06,1573.15,0.9704231,0.01026299,2.59037E-05,7.32035E-09,3.22283E-05,0.000304611,7.2624E-99
5.55E-06,1573.15,0.9703285,0.01017517,4.68191E-05,2.01832E-08,5.67817E-05,0.000443259,2.84888E-96
8.29E-06,1573.15,0.9701872,0.01004712,8.72438E-05,5.91274E-08,0.000103614,0.000627833,2.25053E-93
1.24E-05,1573.15,0.9699824,0.009869852,0.000165048,1.81235E-07,0.000193599,0.000845529,3.46824E-92
