t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,1773.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,1773.15,0.9706013,0.01043065,6.71732E-07,8.90924E-12,7.74904E-07,1.22034E-05,1.4268E-133
2.53E-08,1773.15,0.9705906,0.01042106,1.68176E-06,4.25485E-11,2.10049E-06,3.03477E-05,2.7603E-124
4.78E-08,1773.15,0.9705744,0.01040674,3.20917E-06,1.41202E-10,4.31648E-06,5.74142E-05,5.5907E-120
8.15E-08,1773.15,0.97055,0.01038537,5.53473E-06,3.9968E-10,7.88547E-06,9.77194E-05,9.4617E-116
1.32E-07,1773.15,0.9705134,0.01035349,9.10371E-06,1.0437E-09,1.34705E-05,0.000157685,2.205E-111
2.07E-07,1773.15,0.9704587,0.01030595,1.46147E-05,2.54602E-09,2.20772E-05,0.000246756,1.5599E-107
3.18E-07,1773.15,0.970377,0.0102351,2.3223E-05,6.04126E-09,3.53568E-05,0.000378834,1.4785E-103
4.85E-07,1773.15,0.9702553,0.01012969,3.69333E-05,1.43855E-08,5.61104E-05,0.000573582,6.3741E-101
7.34E-07,1773.15,0.970074,0.009973443,5.93332E-05,3.48562E-08,8.92399E-05,0.000858709,1.20571E-98
1.10E-06,1773.15,0.9698047,0.009743749,9.71066E-05,8.69189E-08,0.000143756,0.001269982,3.37198E-96
1.66E-06,1773.15,0.9694069,0.009412041,0.000163074,2.2557E-07,0.000237051,0.001846808,2.25815E-93
2.48E-06,1773.15,0.9688253,0.008950167,0.000281984,6.13429E-07,0.000403784,0.002613792,2.89016E-90
3.72E-06,1773.15,0.9679905,0.008350178,0.000499715,1.74265E-06,0.000711947,0.003534457,3.22031E-87
5.55E-06,1773.15,0.9668227,0.007655959,0.000891178,5.07177E-06,0.001281741,0.00444812,8.72934E-84
8.29E-06,1773.15,0.9652237,0.006960629,0.001550117,1.45488E-05,0.002281794,0.005093021,6.0232E-80
1.24E-05,1773.15,0.96304,0.006315882,0.002550798,3.93973E-05,0.003882352,0.005317641,2.13419E-74
1.85E-05,1773.15,0.9600294,0.005668179,0.003918853,9.83277E-05,0.006228488,0.005230752,1.66863E-69
2.76E-05,1773.15,0.9558706,0.004951523,0.00563753,0.00022609,0.00949294,0.005032277,1.70844E-64
4.12E-05,1773.15,0.9501503,0.004184418,0.007646727,0.000483339,0.0139431,0.004852406,1.13784E-59
6.14E-05,1773.15,0.9422612,0.003457497,0.009834355,0.000968906,0.02000798,0.004796472,3.11896E-55
9.16E-05,1773.15,0.9311869,0.00287924,0.01207093,0.001835948,0.02843551,0.005008622,1.54183E-49
0.000136721,1773.15,0.9151082,0.002515683,0.01429085,0.003323949,0.04061961,0.005689188,1.51164E-42
0.000203974,1773.15,0.8907472,0.002348159,0.01655787,0.005837357,0.05916648,0.007088484,1.27396E-35
0.000304304,1773.15,0.8525805,0.002273598,0.01900103,0.01010925,0.08863793,0.009458412,1.56047E-28
0.000453979,1773.15,0.7927424,0.002150914,0.02148305,0.01739067,0.1358734,0.012926536,2.21667E-22
0.000677267,1773.15,0.7033459,0.001874062,0.02310992,0.02922108,0.2083795,0.017414428,1.25014E-16
0.001010373,1773.15,0.5821593,0.001450175,0.02245506,0.04618846,0.3095648,0.022610205,2.0584E-10
0.00150731,1773.15,0.4380502,0.00089079,0.0188569,0.06631293,0.4354,0.02624289,0.002212628
0.002248653,1773.15,0.3204136,0.000430307,0.01139454,0.08045436,0.5508121,0.023422973,0.058422695
0.003354606,1773.15,0.2271275,0.000221576,0.007123719,0.08790719,0.647453,0.018049545,0.168751434
0.005004494,1773.15,0.1572125,0.000111279,0.004720163,0.09182412,0.7223155,0.012424428,0.291176684
0.007465837,1773.15,0.1069564,5.49285E-05,0.003454185,0.0935277,0.7768576,0.008272807,0.393432615
0.011137731,1773.15,0.07196475,2.6888E-05,0.002818989,0.09388843,0.8150708,0.005703953,0.467897486
0.016615552,1773.15,0.04849544,1.34403E-05,0.002509508,0.09331772,0.841143,0.004222902,0.51962802
0.024787501,1773.15,0.03348926,7.26282E-06,0.002351259,0.0918915,0.8587345,0.003369528,0.55623622
0.036978617,1773.15,0.0244811,4.52305E-06,0.002249552,0.08954723,0.8707922,0.002849625,0.584226717
0.055165624,1773.15,0.01956679,3.33368E-06,0.00215701,0.08619096,0.8795494,0.002496576,0.608384644
0.08229745,1773.15,0.01724241,2.81825E-06,0.00205304,0.0818017,0.8866588,0.002218772,0.631929
0.122773379,1773.15,0.01626543,2.56979E-06,0.001932538,0.07653926,0.8932676,0.001969382,0.65655149
0.183156369,1773.15,0.01574383,2.39649E-06,0.001799245,0.07074037,0.8999524,0.001732559,0.6824348
0.273237204,1773.15,0.01527346,2.22952E-06,0.001660241,0.06477833,0.9067381,0.001511699,0.708702368
0.40762202,1773.15,0.01477056,2.06002E-06,0.00152224,0.0589521,0.9133963,0.00131464,0.734239873
0.608100607,1773.15,0.01424301,1.89357E-06,0.001390134,0.05345861,0.9197135,0.001145452,0.758229983
0.907179514,1773.15,0.01370617,1.73515E-06,0.001266804,0.04840143,0.9255682,0.001003871,0.780251988
1.353352815,1773.15,0.01317126,1.58746E-06,0.001153435,0.04381158,0.9309197,0.000887118,0.800199588
2.018965163,1773.15,0.0126451,1.45135E-06,0.001050048,0.03967357,0.9357804,0.000791341,0.818163413
3.011942105,1773.15,0.01213121,1.32656E-06,0.000956022,0.03594881,0.9401897,0.000712731,0.834327893
4.49328963,1773.15,0.01163127,1.21232E-06,0.000870527,0.03259311,0.9441941,0.00064802,0.848896509
6.703200454,1773.15,0.01114542,1.1076E-06,0.000792635,0.0295611,0.9478423,0.000594587,0.862073704
10,1773.15,0.01067302,1.01137E-06,0.00072146,0.02681125,0.9511797,0.000550019,0.874044402
