t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,2373.15,0.968277,0.010412,0,0,0,0.002402,0
1.01E-08,2373.15,0.969528,0.009714815,0.000181259,1.409E-07,0.000248753,0.001389112,1.1944E-112
2.53E-08,2373.15,0.9678949,0.008725238,0.000432598,8.55944E-07,0.000709696,0.003321902,1.0792E-105
4.78E-08,2373.15,0.965579,0.007429727,0.000769385,2.97607E-06,0.001409012,0.00592624,9.1051E-100
8.15E-08,2373.15,0.9624298,0.005843486,0.001197842,8.28957E-06,0.002396887,0.009280155,1.14357E-94
1.32E-07,2373.15,0.9582749,0.004086184,0.001709753,2.04522E-05,0.003764663,0.013349268,1.13236E-89
2.07E-07,2373.15,0.9528767,0.002412777,0.002291749,4.6606E-05,0.005675996,0.017957162,1.04677E-85
3.18E-07,2373.15,0.9457479,0.001149773,0.002973626,0.000100451,0.008460301,0.02289085,3.50384E-81
4.85E-07,2373.15,0.9357519,0.000496619,0.00394365,0.00021034,0.0128176,0.028175911,1.32418E-76
7.34E-07,2373.15,0.9205295,0.000359874,0.005728718,0.000447402,0.02020558,0.034226437,2.99319E-72
1.10E-06,2373.15,0.8957511,0.000481581,0.00940371,0.001021782,0.03358654,0.041416537,6.25306E-67
1.66E-06,2373.15,0.8539018,0.000685494,0.01664835,0.002571228,0.0587623,0.049377978,2.61137E-61
2.48E-06,2373.15,0.7831348,0.000869802,0.02874639,0.006835307,0.105776,0.057098781,1.65074E-54
3.72E-06,2373.15,0.6697486,0.000930874,0.043317,0.01753953,0.1876125,0.064211316,9.79331E-45
5.55E-06,2373.15,0.5103257,0.00081012,0.05149771,0.03999674,0.3109793,0.07115617,1.6204E-35
8.29E-06,2373.15,0.3305864,0.00054323,0.04371352,0.07706011,0.4589371,0.07570862,1.63948E-27
1.24E-05,2373.15,0.1809525,0.000265015,0.02393853,0.1217587,0.5887521,0.072557205,8.69977E-22
1.85E-05,2373.15,0.09013801,9.85596E-05,0.008485196,0.1587782,0.6695963,0.062244434,7.70697E-18
2.76E-05,2373.15,0.04551831,3.24967E-05,0.002577197,0.1827992,0.7084419,0.050547826,4.83013E-15
4.12E-05,2373.15,0.02469948,1.09325E-05,0.00092085,0.1976063,0.7255589,0.041398563,5.84852E-13
6.14E-05,2373.15,0.01433222,3.94991E-06,0.000437757,0.2061978,0.7338046,0.035560551,3.30842E-11
9.16E-05,2373.15,0.00872197,1.52408E-06,0.000280075,0.2109296,0.7383804,0.032100918,2.39872E-09
0.000136721,2373.15,0.005487399,6.20649E-07,0.000223907,0.2135682,0.7411659,0.030013231,2.6549E-07
0.000203974,2373.15,0.00354633,2.66333E-07,0.000202868,0.2150888,0.7429518,0.028695961,1.46865E-05
0.000304304,2373.15,0.002352022,1.22153E-07,0.00019481,0.2160073,0.7440938,0.027854454,0.000204344
0.000453979,2373.15,0.001608359,6.16598E-08,0.000191642,0.2165843,0.7447979,0.027330533,0.000881587
0.000677267,2373.15,0.00115229,3.57505E-08,0.000190377,0.2169386,0.7452252,0.027012593,0.001912919
0.001010373,2373.15,0.000889226,2.46786E-08,0.000189876,0.217134,0.7454809,0.026828673,0.002911333
0.00150731,2373.15,0.000757658,2.02059E-08,0.00018968,0.2172133,0.7456297,0.026734097,0.003709279
0.002248653,2373.15,0.000708172,1.87066E-08,0.0001896,0.217211,0.7457223,0.026693943,0.004329462
0.003354606,2373.15,0.000696898,1.83777E-08,0.00018955,0.2171554,0.7458063,0.026676858,0.004869149
0.005004494,2373.15,0.000695681,1.834E-08,0.000189492,0.2170596,0.7459179,0.026662103,0.005463894
