t[s],T[K],CH4,C2H6,C2H4,C2H2,H2,Others,carbon_yield[-]
0,1273.15,0.968277,0.010412,0,0,0,0.002402,0
1.01373E-08,1273.15,0.9706084,0.01043707,1.05973E-10,9.10167E-19,1.06859E-10,-2.12833E-10,0
2.52603E-08,1273.15,0.9706084,0.01043707,2.65156E-10,1.75169E-17,2.69756E-10,-5.34913E-10,8.6065E-117
4.78212E-08,1273.15,0.9706084,0.01043707,5.25861E-10,3.33998E-16,5.46305E-10,-1.07217E-09,8.6265E-115
8.14781E-08,1273.15,0.9706084,0.01043707,9.42687E-10,1.15995E-15,9.95951E-10,-1.93864E-09,1.0007E-113
1.31688E-07,1273.15,0.9706084,0.01043706,1.59957E-09,2.84499E-15,1.70998E-09,6.69045E-09,8.1241E-113
2.06593E-07,1273.15,0.9706084,0.01043705,2.6262E-09,5.97894E-15,2.82912E-09,1.45447E-08,5.6224E-112
3.18338E-07,1273.15,0.9706084,0.01043704,4.2243E-09,1.15724E-14,4.57169E-09,2.1204E-08,3.5942E-111
4.85042E-07,1273.15,0.9706083,0.01043702,6.71053E-09,2.13916E-14,7.27912E-09,1.3601E-07,2.2236E-110
7.33734E-07,1273.15,0.9706083,0.01043699,1.05877E-08,3.85944E-14,1.14913E-08,1.57921E-07,1.3749E-109
1.10474E-06,1273.15,0.9706082,0.01043694,1.66653E-08,6.89657E-14,1.80727E-08,2.95262E-07,8.6908E-109
1.65822E-06,1273.15,0.9706082,0.01043687,2.62648E-08,1.23337E-13,2.84275E-08,3.45308E-07,5.6676E-108
2.4839E-06,1273.15,0.9706081,0.01043676,4.15734E-08,2.22561E-13,4.48653E-08,5.23561E-07,4.6053E-108
3.71569E-06,1273.15,0.9706079,0.0104366,6.62603E-08,4.06375E-13,7.12385E-08,8.32501E-07,3.3444E-108
5.55329E-06,1273.15,0.9706077,0.01043635,1.06646E-07,7.54183E-13,1.14141E-07,1.19921E-06,1.975E-108
8.29468E-06,1273.15,0.9706073,0.01043597,1.74211E-07,1.43597E-12,1.85459E-07,1.85033E-06,7.3474E-109
1.23843E-05,1273.15,0.9706067,0.01043539,2.91185E-07,2.84893E-12,3.08038E-07,2.80077E-06,1.8294E-110
1.84854E-05,1273.15,0.9706059,0.01043448,5.15219E-07,6.41034E-12,5.40471E-07,4.0743E-06,2.9848E-104
2.75871E-05,1273.15,0.9706045,0.01043303,9.51908E-07,1.57145E-11,9.89839E-07,6.06824E-06,2.1326E-103
4.11653E-05,1273.15,0.9706022,0.01043068,1.82599E-06,4.17484E-11,1.88332E-06,8.99065E-06,2.46358E-96
6.14215E-05,1273.15,0.9705984,0.01042677,3.60938E-06,1.19417E-10,3.69714E-06,1.31734E-05,9.56462E-95
9.16403E-05,1273.15,0.9705919,0.01042017,7.29583E-06,3.62774E-10,7.43354E-06,1.89703E-05,6.65428E-94
0.000136721,1273.15,0.970581,0.01040901,1.48126E-05,1.15971E-09,1.50379E-05,2.61183E-05,1.76684E-93
0.000203974,1273.15,0.9705629,0.01039054,2.94795E-05,3.76148E-09,2.98673E-05,3.35394E-05,0
0.000304304,1273.15,0.9705339,0.01036117,5.59481E-05,1.18388E-08,5.664E-05,3.922E-05,1.57162E-90
0.000453979,1273.15,0.9704894,0.01031624,9.94956E-05,3.47746E-08,0.000100733,4.18362E-05,4.24623E-85
0.000677267,1273.15,0.9704228,0.01024916,0.000166183,9.41489E-08,0.000168365,4.2408E-05,1.9048E-81
0.001010373,1273.15,0.9703243,0.01015015,0.000264985,2.37933E-07,0.000268806,4.24105E-05,4.51703E-78
0.00150731,1273.15,0.9701796,0.01000509,0.000409553,5.7196E-07,0.000416302,4.25332E-05,4.2485E-73
